uploadID uploadRA uploadDEC uploadSearchID objID survey specObjID distance_arcmin fov_radius IAUName ra dec band nuv_exptime fuv_exptime fuv_mag_1 fuv_magerr nuv_mag nuv_magerr fuv_flux fuv_fluxerr nuv_flux nuv_fluxerr e_bv spectra fuv_fwhm_world nuv_fwhm_world ra_cent dec_cent minObsDate meanObsDate maxObsDate minObsMJD meanObsMJD maxObsMJD tilename tilenum_1 img subvis photoextractid nuv_flux_auto nuv_flux_aper_7 nuv_artifact fuv_flux_auto fuv_flux_aper_7 fuv_artifact X_IMAGE Y_IMAGE FLUX_AUTO FLUXERR_AUTO FLUX_APER A_IMAGE B_IMAGE THETA_IMAGE FWHM_IMAGE nuv_sex gl_sex gb_sex ra_sex dec_sex nuv_galex fuv_mag_2 ra_galex dec_galex gl_galex gb_galex tilenum_2
17 276.3618810873868 -28.59930850411175 17 6379887819762959537 AIS 0 0.0 0.40344807505607605 "GALEX J182526.8-283557" 276.3618810873868 -28.59930850411175 1 97.1 0.0 -999.0 -999.0 16.0565834 0.0230143815 -999.0 -999.0 1372.03955 29.0760975 0.399433672 false -99.0 0.00200196262 276.69476 -28.32159 2011-06-14 2011-06-14 2011-06-14 55726.57885416666 55726.57885416666 55726.579976851855 AIS_255 50255 1 46 6379887819761909760 40.6786994934082 41.44362258911133 0 -99.0 -99.0 -999 300.42498779296875 6249.0 97.0691 0.916803 21.0845 1.6342 1.14239 -60.9517 5.492809772491455 15.112299919128418 4.54970117653 -7.46025881963 276.361330478 -28.599232662 16.056583404541016 -999.0 276.3618810873868 -28.59930850411175 4.549910068511963 -7.460845470428467 50255
18 274.6816942638589 -27.74388713475627 18 6388050606972475216 AIS 0 0.0 0.3752952218055725 "GALEX J181843.6-274437" 274.6816942638589 -27.74388713475627 1 112.0 0.0 -999.0 -999.0 16.9356842 0.03774949 -999.0 -999.0 610.556763 21.2230282 0.392291725 false -99.0 0.00157639955 274.58608 -28.10955 2011-07-20 2011-07-20 2011-07-20 55762.3110300926 55762.3110300926 55762.312326388885 AIS_487 50487 1 58 6388050606971420672 18.10199546813965 18.154409408569336 0 -99.0 -99.0 -999 2261.550048828125 10405.0 35.8714 0.52886 3.47102 1.36949 1.26888 -30.7904 6.467830181121826 16.193099975585938 4.63147172422 -5.75172091513 274.681316354 -27.7433994091 16.935684204101562 -999.0 274.6816942638589 -27.74388713475627 4.631252288818359 -5.752364635467529 50487
21 277.9823969270407 -15.51895296654521 21 6375771210647605039 AIS 0 0.0 0.38001811504364014 "GALEX J183155.7-153108" 277.9823969270407 -15.51895296654521 1 103.0 0.0 -999.0 -999.0 17.7957668 0.0636662245 -999.0 -999.0 276.498352 16.2095814 2.13161469 false -99.0 0.00170967146 277.68123 -15.76453 2011-07-23 2011-07-23 2011-07-23 55765.18289351852 55765.18289351852 55765.18408564815 AIS_138 50138 1 11 6375771210646552576 8.197717666625977 8.598849296569824 0 -99.0 -99.0 -999 852.8510131835938 17498.400390625 20.1086 0.375935 4.13744 1.68933 1.16578 87.7354 5.663539886474609 16.821500778198242 16.9218248152 -2.81338880271 277.981830586 -15.5185317599 17.795766830444336 -999.0 277.9823969270407 -15.51895296654521 16.921764373779297 -2.814199447631836 50138
26 273.5704560226571 0.5158805843356531 26 6375454556667513893 AIS 0 0.0 0.5397472977638245 "GALEX J181416.9+003057" 273.5704560226571 0.5158805843356531 1 154.0 154.0 -999.0 -999.0 16.3017216 0.01829703 -999.0 -999.0 1094.73975 18.4442787 0.645078957 false -99.0 0.00209640176 273.44127 -0.00818 2007-05-31 2007-06-20 2007-07-10 54251.084444444445 54271.29277777777 54291.5497337963 AIS_129 50129 1 16 6375454556666462208 32.457218170166016 32.96721267700195 1 -99.0 -99.0 0 1867.260009765625 44800.30078125 132.047 1.15161 27.067 1.34177 1.28119 -51.4987 4.821929931640625 14.778200149536133 29.1296560519 8.49700981093 273.570431099 0.515945169263 16.301721572875977 -999.0 273.5704560226571 0.5158805843356531 29.129676818847656 8.496820449829102 50129
27 273.5706138126707 0.5158907927229833 27 6375454549151318804 AIS 0 0.0 0.4240352511405945 "GALEX J181416.9+003057" 273.5706138126707 0.5158907927229833 1 152.0 152.0 -999.0 -999.0 16.3049755 0.01773242 -999.0 -999.0 1091.46375 17.8216343 0.645078957 false -99.0 0.00139743893 273.91874 0.75803 2007-05-31 2007-06-20 2007-07-10 54251.08322916666 54271.33322916667 54291.5483912037 AIS_129 50129 1 9 6375454549150269440 32.36009216308594 32.97760772705078 0 -99.0 -99.0 0 1867.260009765625 44800.30078125 132.047 1.15161 27.067 1.34177 1.28119 -51.4987 4.821929931640625 14.778200149536133 29.1296560519 8.49700981093 273.570431099 0.515945169263 16.304975509643555 -999.0 273.5706138126707 0.5158907927229833 29.129758834838867 8.496685028076172 50129
28 290.0187683109094 -6.628065302880067 28 6375841649184999145 AIS 0 0.0 0.5171747207641602 "GALEX J192004.5-063741" 290.0187683109094 -6.628065302880067 1 208.0 208.0 -999.0 -999.0 15.8520718 0.0128562413 -999.0 -999.0 1656.42224 19.60899 0.393607825 false -99.0 0.00164901721 290.51565 -6.47382 2006-08-02 2006-08-07 2006-08-12 53949.99259259259 53954.82592592592 53959.64755787037 AIS_140 50140 1 76 6375841649183948800 49.110172271728516 49.75159454345703 1 -99.0 -99.0 0 1384.280029296875 1566.1300048828125 156.445 1.01313 26.3392 2.01743 1.16794 -24.6188 5.832009792327881 14.594099998474121 30.2438058781 -9.36988666768 290.01884342 -6.62787877022 15.852071762084961 -999.0 290.0187683109094 -6.628065302880067 30.243667602539062 -9.370040893554688 50140
29 290.0191729888822 -6.627947102492913 29 6375841650258740727 AIS 0 0.0 0.5279449820518494 "GALEX J192004.6-063740" 290.0191729888822 -6.627947102492913 1 208.0 208.0 -999.0 -999.0 15.8814039 0.0127495881 -999.0 -999.0 1612.27063 18.92798 0.393607825 false -99.0 0.00171617069 289.50874 -6.48104 2006-08-02 2006-08-07 2006-08-12 53949.994155092594 53954.82748842592 53959.64927083334 AIS_140 50140 1 77 6375841650257690624 47.801151275634766 48.34646987915039 1 -99.0 -99.0 0 1384.280029296875 1566.1300048828125 156.445 1.01313 26.3392 2.01743 1.16794 -24.6188 5.832009792327881 14.594099998474121 30.2438058781 -9.36988666768 290.01884342 -6.62787877022 15.881403923034668 -999.0 290.0191729888822 -6.627947102492913 30.243955612182617 -9.37034797668457 50140
30 290.0117517541408 -6.627961377279337 30 6375841649184999166 AIS 0 0.0 0.5238018035888672 "GALEX J192002.8-063740" 290.0117517541408 -6.627961377279337 1 208.0 208.0 -999.0 -999.0 17.88737 0.0360721163 -999.0 -999.0 254.127853 8.441003 0.393607825 false -99.0 0.00168539025 290.51565 -6.47382 2006-08-02 2006-08-07 2006-08-12 53949.99259259259 53954.82592592592 53959.64755787037 AIS_140 50140 1 76 6375841649183948800 7.5344696044921875 7.882850170135498 1 -99.0 -99.0 0 1392.199951171875 1581.68994140625 65.1114 0.66035 7.61035 2.42217 1.3815 -22.8092 8.227970123291016 15.545900344848633 30.2405044865 -9.3635764091 290.011694956 -6.62797915327 17.88736915588379 -999.0 290.0117517541408 -6.627961377279337 30.240610122680664 -9.36375617980957 50140
31 290.012024968805 -6.627966419945965 31 6375841650258740769 AIS 0 0.0 0.5211333632469177 "GALEX J192002.8-063740" 290.012024968805 -6.627966419945965 1 208.0 208.0 -999.0 -999.0 17.8859768 0.0363097563 -999.0 -999.0 254.4537 8.507506 0.393607825 false -99.0 0.0017280879 289.50874 -6.48104 2006-08-02 2006-08-07 2006-08-12 53949.994155092594 53954.82748842592 53959.64927083334 AIS_140 50140 1 77 6375841650257690624 7.544130325317383 7.752490997314453 1 -99.0 -99.0 0 1392.199951171875 1581.68994140625 65.1114 0.66035 7.61035 2.42217 1.3815 -22.8092 8.227970123291016 15.545900344848633 30.2405044865 -9.3635764091 290.011694956 -6.62797915327 17.885976791381836 -999.0 290.012024968805 -6.627966419945965 30.2407283782959 -9.364001274108887 50140
33 286.2481865015982 15.86284981574404 33 6375208268210374756 AIS 0 0.0 0.5377880930900574 "GALEX J190459.5+155146" 286.2481865015982 15.86284981574404 1 301.0 0.0 -999.0 -999.0 17.9344444 0.02909372 -999.0 -999.0 243.344711 6.5191555 0.727882445 false -99.0 0.0019059456 285.69518 15.7845 2011-06-17 2011-07-10 2011-08-01 55729.454050925924 55752.16238425925 55774.84112268519 AIS_122 50122 1 18 6375208268209324032 7.2147674560546875 7.382335662841797 1 -99.0 -99.0 -999 2615.530029296875 34466.0 13.7622 0.377326 1.7987 1.74993 1.12001 -84.314 8.297320365905762 17.233299255371094 48.5921664069 4.24619431395 286.247684692 15.8630664657 17.934444427490234 -999.0 286.2481865015982 15.86284981574404 48.592254638671875 4.245533466339111 50122
